2024-10-24 22:29:54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2024-10-24 22:29:54 [main] INFO  c.a.config.AfrocasaConfigApplication - Starting AfrocasaConfigApplication using Java 17.0.6 on MacBook-Pro.attlocal.net with PID 6279 (/Users/bereketfrezghi/afrocasa-services /AfrocasaConfig/target/classes started by bereketfrezghi in /Users/bereketfrezghi/afrocasa-services )
2024-10-24 22:29:54 [main] INFO  c.a.config.AfrocasaConfigApplication - No active profile set, falling back to 1 default profile: "default"
2024-10-24 22:29:56 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=9f9d2092-fcf5-326d-bdaa-82be698c4207
2024-10-24 22:29:56 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8877 (http)
2024-10-24 22:29:56 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8877"]
2024-10-24 22:29:56 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-10-24 22:29:56 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2024-10-24 22:29:56 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-10-24 22:29:56 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2337 ms
2024-10-24 22:29:59 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-10-24 22:29:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@380fdcf2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@114b203, org.springframework.security.web.context.SecurityContextPersistenceFilter@21ea1d9d, org.springframework.security.web.header.HeaderWriterFilter@5315266, org.springframework.web.filter.CorsFilter@8d810f2, org.springframework.security.web.csrf.CsrfFilter@8549c5f, org.springframework.security.web.authentication.logout.LogoutFilter@3006bfb, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1b25d695, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@60a6840c, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@537b3be1, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@45bf93bb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@36a58466, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@78e387d6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@15d58530, org.springframework.security.web.session.SessionManagementFilter@216328b2, org.springframework.security.web.access.ExceptionTranslationFilter@646cb2e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@35ceec81]
2024-10-24 22:29:59 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 22:29:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2024-10-24 22:29:59 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 22:29:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2024-10-24 22:29:59 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-10-24 22:29:59 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2024-10-24 22:30:00 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8877"]
2024-10-24 22:30:00 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8877 (http) with context path ''
2024-10-24 22:30:00 [main] INFO  c.a.config.AfrocasaConfigApplication - Started AfrocasaConfigApplication in 7.077 seconds (JVM running for 7.803)
